Keira Knightley	ENFP	women_pics/keira-knightley.jpg
Keith Richards	ISFP	men_files/keith-richards.jpg
Kelsey Grammer	ESTJ	men_files/kelsey-grammer.jpg
Kevin Barnes	ENTP	philosophers_files/barnes.jpg
Kevin Spacey	ESTP	men_files/kevin-spacey.jpg
Kim Kardashian	ISFJ	women_pics/kim-kardashian2.jpg
Kirsten Dunst	ISFJ	women_pics/kirsten_dunst1.jpg
Kristen Stewart	ISTP	women_pics/kristen-stewart2.jpg
Kurt Cobain	INFP	philosophers_files/cobain.jpg
Kurt Vonnegut	ENFP	files2/kurt-vonnegut2.jpg
L. Ron Hubbard	ESTP	philosophers_files/hubbard.jpg
Lady Gaga	ISFP	women_pics/lady-gaga.jpg
Lance Reddick	ISFJ	men_files/lance-reddick.jpg
Larry Ellison	ESFP	files2/larry-ellison.jpg
Larry King	ESFJ	files2/larry-king.jpg
Larry Page	INTP	files2/larry-page.jpg
Lars von Trier	INFJ	philosophers_files/vontrier.jpg
Laura Harring	ESFJ	women_pics/laura-harring.jpg
Laura Schlessinger	ESTJ	philosophers_files/schlessinger.jpg
Leni Riefenstahl	ISFP	files2/leni-riefenstahl.jpg
Leona Lewis	ISFP	women_pics/leona-lewis.jpg
Leonard Cohen	INFJ	men_files/leonard-cohen.jpg
Leonardo DiCaprio	ESFP	men_files/leonardo-dicaprio.jpg
Lesley Stahl	ESFJ	women_pics/lesley-stahl.jpg
Liv Tyler	ISFP	women_pics/liv-tyler.jpg
Louis C.K.	INFP	men_files/louis-c-k.jpg
Lucy Liu	ESTJ	women_pics/lucy-liu.jpg
Ludwig Wittgenstein	INFJ	philosophers_files/wittgenstein.jpg
Lyndon B. Johnson	ESTP	files2/lyndon-b-johnson.jpg
Maddox	ENTP	men_files/maddox.jpg
Madeleine Albright	ENTJ	files2/madeleine-albright2.jpg
Madonna	ESTP	women_pics/madonna.jpg
Mahatma Gandhi	INFJ	files2/mahatma-gandhi.jpg
Malcolm X	ESTP	files2/malcolm-x.jpg
Marcus Aurelius	ISFJ	philosophers_files/aurelius.jpg
Margaret Thatcher	ENTJ	philosophers_files/thatcher.jpg
Mariah Carey	ESFJ	women_pics/mariah-carey.jpg
Marie Curie	INTP	files2/marie-curie.jpg
